Plot ID,Treatment,Replicate,Block,Light_level,Disturbance_level,Shoot_mortality,Survival_rate,Leaf_growth,Shoot_init,Shoot_fin
1,StaticStatic,1,1,25,high,-0.166666667,0.72,-0.161904762,25,18
2,InPhase,1,1,0,high,-0.452380952,0.5,2.314285714,38,19
3,OutPhase,1,1,50,high,-0.19047619,0.636363636,-0.05952381,22,14
4,Control,1,1,100,none,0.023809524,1.142857143,3.819047619,7,8
5,Control,2,2,100,none,-0.023809524,0.977272727,-0.3,44,43
6,OutPhase,2,2,50,high,-0.428571429,0.4,-0.088095238,30,12
7,StaticStatic,2,2,25,high,-0.738095238,0.326086957,2.038095238,46,15
8,InPhase,2,2,0,high,-0.428571429,0.379310345,0.264285714,29,11
9,InPhase,3,3,0,high,-0.380952381,0.36,0.876190476,25,9
10,Control,3,3,100,none,0.285714286,1.5,0.428571429,24,36
11,OutPhase,3,3,50,high,-0.571428571,0.4,0.192857143,40,16
12,StaticStatic,3,3,25,high,-0.119047619,0.848484848,2.211904762,33,28
13,StaticStatic,4,4,25,high,-0.333333333,0.416666667,-0.402380952,24,10
14,Control,4,4,100,none,0.142857143,1.428571429,0.664285714,14,20
15,OutPhase,4,4,50,high,-0.214285714,0.1,0.523809524,10,1
16,InPhase,4,4,0,high,-0.333333333,0.066666667,-1.164285714,15,1
17,StaticStatic,5,5,25,high,-0.071428571,0.833333333,-1.254761905,18,15
18,Control,5,5,100,none,0.095238095,1.121212121,-1.002380952,33,37
19,InPhase,5,5,0,high,-0.285714286,0.555555556,0.464285714,27,15
20,OutPhase,5,5,50,high,-0.142857143,0.647058824,2.10952381,17,11
21,InPhase,6,6,0,high,-0.428571429,0.4375,1.24047619,32,14
22,StaticStatic,6,6,25,high,-0.238095238,0.523809524,1.847619048,21,11
23,Control,6,6,100,none,0.238095238,1.227272727,0.819047619,44,54
24,OutPhase,6,6,50,high,-0.19047619,0.578947368,2.373809524,19,11
