Week,Plot ID,Treatment,Stressor_app,Replicate,Block,Light_level,Disturbance_level,Shoot_density,Leaf_surface_area,Avg_LSA,Total_invert_abundance,Crustacean_abundance
0,1,StaticStatic,1,1,1,25,high,100,3449.425,34.49424997,3,3
0,2,InPhase,2,1,1,50,low,152,5646.357818,37.14709089,2,2
0,3,OutPhase,3,1,1,0,low,88,3369.408,38.28872727,2,2
0,4,Control,0,1,1,100,none,28,624.96,22.32,2,2
0,5,Control,0,2,2,100,none,176,8144.37888,46.27488,4,4
0,6,OutPhase,3,2,2,0,low,120,9795.4272,81.62856,31,31
0,7,StaticStatic,1,2,2,25,high,184,10469.75207,56.9008265,15,15
0,8,InPhase,2,2,2,50,low,116,7314.16192,63.05312,19,19
0,9,InPhase,2,3,3,50,low,100,5389.208,53.89208,21,21
0,10,Control,0,3,3,100,none,96,4546.7136,47.3616,7,7
0,11,OutPhase,3,3,3,0,low,160,9341.568,58.3848,18,18
0,12,StaticStatic,1,3,3,25,high,132,5069.26992,38.40356,3,3
0,13,StaticStatic,1,4,4,25,high,96,4994.154667,52.02244448,4,4
0,14,Control,0,4,4,100,none,56,2438.00368,43.53578,6,5
0,15,OutPhase,3,4,4,0,low,40,1129.44,28.236,2,2
0,16,InPhase,2,4,4,50,low,60,1928.307692,32.13846157,3,3
0,17,StaticStatic,1,5,5,25,high,72,2747.278125,38.15664063,1,1
0,18,Control,0,5,5,100,none,132,7796.448,59.064,2,2
0,19,InPhase,2,5,5,50,low,108,3960.330604,36.66972784,3,3
0,20,OutPhase,3,5,5,0,low,68,1508.414163,22.18256124,3,3
0,21,InPhase,2,6,6,50,low,128,4864.47104,38.00368,1,1
0,22,StaticStatic,1,6,6,25,high,84,1982.1312,23.5968,1,0
0,23,Control,0,6,6,100,none,176,9550.66464,54.26514,1,1
0,24,OutPhase,3,6,6,0,low,76,2169.40784,28.54484,1,1
1,1,StaticStatic,1,1,1,25,high,96,5110.865455,53.23818179,0,0
1,2,InPhase,2,1,1,50,low,140,6546.501818,46.76072726,5,5
1,3,OutPhase,3,1,1,0,low,92,4063.3824,44.1672,2,2
1,4,Control,0,1,1,100,none,36,938.0662722,26.05739647,0,0
1,5,Control,0,2,2,100,none,204,6692.76672,32.80768,17,17
1,6,OutPhase,3,2,2,0,low,124,8061.51528,65.01222,15,15
1,7,StaticStatic,1,2,2,25,high,140,5797.9152,41.41368,19,19
1,8,InPhase,2,2,2,50,low,96,5384.16384,56.08504,29,29
1,9,InPhase,2,3,3,50,low,84,4172.5824,49.6736,10,10
1,10,Control,0,3,3,100,none,124,7620.9408,61.4592,9,9
1,11,OutPhase,3,3,3,0,low,156,7726.1184,49.5264,5,5
1,12,StaticStatic,1,3,3,25,high,128,4892.24886,38.22069417,8,7
1,13,StaticStatic,1,4,4,25,high,92,2753.006911,29.9239882,43,43
