Week,Plot ID,Treatment,Stressor_app,Replicate,Block,Light_level,Disturbance_level,Shoot_density,Day0_density,Leaf_surface_area,Day0_surface_area,Avg_LSA,Day0_Avg_LSA,Total_invert_abundance,Day0_invert,Crustacean_abundance,Day0_crustacean
1,1,StaticStatic,1,1,1,25,high,96,100,5110.865455,3449.425,53.23818179,34.49424997,0,3,0,3
1,2,InPhase,2,1,1,50,low,140,152,6546.501818,5646.357818,46.76072726,37.14709089,5,2,5,2
1,3,OutPhase,3,1,1,0,low,92,88,4063.3824,3369.408,44.1672,38.28872727,2,2,2,2
1,4,Control,0,1,1,100,none,36,28,938.0662722,624.96,26.05739647,22.32,0,2,0,2
1,5,Control,0,2,2,100,none,204,176,6692.76672,8144.37888,32.80768,46.27488,17,4,17,4
1,6,OutPhase,3,2,2,0,low,124,120,8061.51528,9795.4272,65.01222,81.62856,15,31,15,31
1,7,StaticStatic,1,2,2,25,high,140,184,5797.9152,10469.75207,41.41368,56.9008265,19,15,19,15
1,8,InPhase,2,2,2,50,low,96,116,5384.16384,7314.16192,56.08504,63.05312,29,19,29,19
1,9,InPhase,2,3,3,50,low,84,100,4172.5824,5389.208,49.6736,53.89208,10,21,10,21
1,10,Control,0,3,3,100,none,124,96,7620.9408,4546.7136,61.4592,47.3616,9,7,9,7
1,11,OutPhase,3,3,3,0,low,156,160,7726.1184,9341.568,49.5264,58.3848,5,18,5,18
1,12,StaticStatic,1,3,3,25,high,128,132,4892.24886,5069.26992,38.22069417,38.40356,8,3,7,3
1,13,StaticStatic,1,4,4,25,high,92,96,2753.006911,4994.154667,29.9239882,52.02244448,43,4,43,4
1,14,Control,0,4,4,100,none,84,56,3918.46896,2438.00368,46.64844,43.53578,8,6,8,5
1,15,OutPhase,3,4,4,0,low,36,40,838.79712,1129.44,23.29992,28.236,3,2,3,2
1,16,InPhase,2,4,4,50,low,32,60,889.6010579,1928.307692,27.80003306,32.13846157,0,3,0,3
1,17,StaticStatic,1,5,5,25,high,84,72,2881.99296,2747.278125,34.30944,38.15664063,7,1,7,1
1,18,Control,0,5,5,100,none,136,132,7416.85248,7796.448,54.53568,59.064,1,2,1,2
1,19,InPhase,2,5,5,50,low,116,108,5469.77352,3960.330604,47.15322,36.66972784,3,3,3,3
1,20,OutPhase,3,5,5,0,low,60,68,2769.228,1508.414163,46.1538,22.18256124,1,3,1,3
1,21,InPhase,2,6,6,50,low,112,128,3825.145679,4864.47104,34.1530864,38.00368,0,1,0,1
1,22,StaticStatic,1,6,6,25,high,72,84,2443.53719,1982.1312,33.93801653,23.5968,3,1,3,0
1,23,Control,0,6,6,100,none,200,176,10080,9550.66464,50.4,54.26514,8,1,8,1
1,24,OutPhase,3,6,6,0,low,72,76,2826.115438,2169.40784,39.25160328,28.54484,1,1,1,1
2,1,StaticStatic,1,1,1,25,high,88,100,2705.105455,3449.425,30.7398347,34.49424997,1,3,1,3
2,2,InPhase,2,1,1,0,high,136,152,4938.857,5646.357818,36.31512497,37.14709089,0,2,0,2
2,3,OutPhase,3,1,1,50,high,96,88,3199.802667,3369.408,33.33127776,38.28872727,0,2,0,2
2,4,Control,0,1,1,100,none,36,28,1057.588364,624.96,29.37745455,22.32,0,2,0,2
2,5,Control,0,2,2,100,none,180,176,9270.0432,8144.37888,51.50024,46.27488,5,4,5,4
2,6,OutPhase,3,2,2,50,high,88,120,3551.825455,9795.4272,40.36165292,81.62856,0,31,0,31
2,7,StaticStatic,1,2,2,25,high,108,184,4832.1,10469.75207,44.74166663,56.9008265,3,15,3,15
2,8,InPhase,2,2,2,0,high,68,116,2329.540628,7314.16192,34.25795039,63.05312,2,19,2,19
2,9,InPhase,2,3,3,0,high,84,100,2946.13536,5389.208,35.07304,53.89208,3,21,3,21
2,10,Control,0,3,3,100,none,124,96,5825.9168,4546.7136,46.9832,47.3616,1,7,1,7
2,11,OutPhase,3,3,3,50,high,112,160,4533.217587,9341.568,40.47515699,58.3848,5,18,5,18
2,12,StaticStatic,1,3,3,25,high,120,132,4066.6992,5069.26992,33.88916,38.40356,3,3,3,3
2,13,StaticStatic,1,4,4,25,high,88,96,4653.090909,4994.154667,52.87603311,52.02244448,4,4,4,4
2,14,Control,0,4,4,100,none,76,56,1896.82351,2438.00368,24.95820406,43.53578,3,6,3,5
2,15,OutPhase,3,4,4,50,high,20,40,573.048,1129.44,28.6524,28.236,3,2,3,2
2,16,InPhase,2,4,4,0,high,56,60,1830.276,1928.307692,32.6835,32.13846157,3,3,3,3
2,17,StaticStatic,1,5,5,25,high,84,72,3208.672264,2747.278125,38.19847931,38.15664063,0,1,0,1
2,18,Control,0,5,5,100,none,128,132,6819.941491,7796.448,53.28079286,59.064,2,2,2,2
2,19,InPhase,2,5,5,0,high,104,108,5150.87664,3960.330604,49.52766,36.66972784,3,3,3,3
2,20,OutPhase,3,5,5,50,high,40,68,1135.512,1508.414163,28.3878,22.18256124,4,3,4,3
2,21,InPhase,2,6,6,0,high,96,128,2754.28919,4864.47104,28.69051241,38.00368,2,1,2,1
2,22,StaticStatic,1,6,6,25,high,68,84,1957.775074,1982.1312,28.79080992,23.5968,0,1,0,0
2,23,Control,0,6,6,100,none,164,176,7179.986939,9550.66464,43.78040812,54.26514,2,1,2,1
2,24,OutPhase,3,6,6,50,high,76,76,1930.535111,2169.40784,25.40177778,28.54484,2,1,2,1
3,1,StaticStatic,1,1,1,25,high,88,100,5614.9632,3449.425,63.8064,34.49424997,3,3,3,3
3,2,InPhase,2,1,1,0,high,124,152,4265.3024,5646.357818,34.3976,37.14709089,3,2,3,2
3,3,OutPhase,3,1,1,50,high,80,88,2672.8128,3369.408,33.41016,38.28872727,0,2,0,2
3,4,Control,0,1,1,100,none,32,28,1095.374222,624.96,34.23044441,22.32,0,2,0,2
3,5,Control,0,2,2,100,none,184,176,5691.488,8144.37888,30.932,46.27488,6,4,6,4
3,6,OutPhase,3,2,2,50,high,88,120,4791.6,9795.4272,54.45,81.62856,1,31,1,31
3,7,StaticStatic,1,2,2,25,high,96,184,5234.88,10469.75207,54.53,56.9008265,6,15,6,15
3,8,InPhase,2,2,2,0,high,56,116,3318.084,7314.16192,59.2515,63.05312,2,19,2,19
3,9,InPhase,2,3,3,0,high,76,100,4484.63232,5389.208,59.00832,53.89208,19,21,19,21
3,10,Control,0,3,3,100,none,112,96,5463.696,4546.7136,48.783,47.3616,15,7,15,7
3,11,OutPhase,3,3,3,50,high,84,160,2940.69384,9341.568,35.00826,58.3848,11,18,11,18
3,12,StaticStatic,1,3,3,25,high,116,132,6177.1392,5069.26992,53.2512,38.40356,8,3,8,3
